epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.4784,0.87932,3.24978,1.19017,0,0,0,0,0,62.5906,0,3.75e-05,3.75e-05,3.75e-05
2,24.3386,0.82711,3.10165,1.1845,0,0,0,0,0,62.4483,0,8.66338e-05,8.66338e-05,8.66338e-05
3,36.0557,0.7464,2.82933,1.09061,0,0,0,0,0,62.0547,0,0.000134777,0.000134777,0.000134777
4,47.8719,0.75668,2.42653,1.11457,0,0,0,0,0,61.9534,0,0.000181931,0.000181931,0.000181931
5,59.4778,0.74561,2.01979,1.09198,0,0,0,0,0,62.1565,0,0.000228095,0.000228095,0.000228095
6,71.1971,0.72896,1.74824,1.11089,0,0,0,0,0,61.9058,0,0.000273269,0.000273269,0.000273269
7,82.7733,0.75928,1.5066,1.09569,0,0,0,0,0,61.1044,0,0.000317452,0.000317452,0.000317452
8,94.3714,0.77889,1.31334,1.14555,0,0,0,0,0,60.5416,0,0.000360646,0.000360646,0.000360646
9,105.947,0.78291,1.18762,1.18156,0,0,0,0,0,71.5489,0,0.00040285,0.00040285,0.00040285
10,117.517,0.73505,1.10418,1.1424,0,0,0,0,0,102.261,0,0.000444064,0.000444064,0.000444064
11,129.221,0.69879,0.99564,1.09433,0,0,0,0,0,193.681,0,0.000484288,0.000484288,0.000484288
12,140.825,0.74972,0.93449,1.12512,0,0,0,0,0,497.836,0,0.000523521,0.000523521,0.000523521
13,152.632,0.71971,0.89581,1.08463,0,0,0,0,0,659.605,0,0.000561765,0.000561765,0.000561765
14,164.275,0.70108,0.86181,1.09699,0,0,0,0,0,590.419,0,0.000599019,0.000599019,0.000599019
15,175.991,0.73045,0.88448,1.11128,0,0,0,0,0,437.659,0,0.000635282,0.000635282,0.000635282
16,187.643,0.74926,0.89439,1.08515,0,0,0,0,0,439.485,0,0.000670556,0.000670556,0.000670556
17,199.262,0.74616,0.84814,1.10239,0,0,0,0,0,392.902,0,0.00070484,0.00070484,0.00070484
18,210.911,0.68668,0.78185,1.08264,0,0,0,0,0,336.461,0,0.000738134,0.000738134,0.000738134
19,222.516,0.70896,0.82733,1.08489,0,0,0,0,0,257.751,0,0.000770438,0.000770438,0.000770438
20,234.093,0.69612,0.82104,1.10048,0,0,0,0,0,158.717,0,0.000801751,0.000801751,0.000801751
21,245.696,0.67158,0.75623,1.07219,0,0,0,0,0,118.763,0,0.000832075,0.000832075,0.000832075
22,257.227,0.67104,0.75563,1.04961,0,0,0,0,0,160.173,0,0.000861409,0.000861409,0.000861409
23,268.776,0.66678,0.77311,1.0469,0,0,0,0,0,153.085,0,0.000889753,0.000889753,0.000889753
24,280.632,0.66538,0.74875,1.07965,0,0,0,0,0,134.768,0,0.000917106,0.000917106,0.000917106
25,293.139,0.65412,0.74876,1.05192,0,0,0,0,0,123.086,0,0.00094347,0.00094347,0.00094347
26,305.664,0.66974,0.72771,1.0618,0,0,0,0,0,139.344,0,0.000940625,0.000940625,0.000940625
27,317.902,0.66046,0.75649,1.04037,0,0,0,0,0,143.214,0,0.00092825,0.00092825,0.00092825
28,329.499,0.65116,0.71135,1.03368,0,0,0,0,0,141.571,0,0.000915875,0.000915875,0.000915875
29,341.116,0.61244,0.71052,1.02864,0,0,0,0,0,129.675,0,0.0009035,0.0009035,0.0009035
30,352.752,0.62553,0.70221,1.04566,0,0,0,0,0,138.038,0,0.000891125,0.000891125,0.000891125
31,364.398,0.684,0.74381,1.08106,0,0,0,0,0,178.007,0,0.00087875,0.00087875,0.00087875
